Longitude,Latitude
76.9337,30.8320
76.9428,30.8292
76.9476,30.8232
76.9538,30.8112
76.9618,30.8090
76.9686,30.8080
76.9791,30.7988
76.9848,30.8105
76.9865,30.8133
76.9885,30.8150
76.9927,30.8183
76.9958,30.8167
76.9980,30.8143
76.9985,30.8097
76.9997,30.8049
77.0004,30.7976
76.9997,30.7940
77.0000,30.7890
76.9910,30.7807
76.9886,30.7771
76.9952,30.7710
76.9988,30.7692
77.0024,30.7679
77.0047,30.7574
77.0047,30.7525
77.0064,30.7495
77.0094,30.7457
77.0131,30.7422
77.0181,30.7404
77.0240,30.7416
77.0304,30.7463
77.0303,30.7518
77.0380,30.7531
77.0471,30.7487
77.0550,30.7467
77.0617,30.7461
77.0697,30.7470
77.0768,30.7448
77.0863,30.7399
77.0911,30.7362
77.1006,30.7324
77.1023,30.7308
77.1002,30.7264
77.0999,30.7223
77.1032,30.7205
77.1096,30.7227
77.1174,30.7179
77.1222,30.7122
77.1251,30.7071
77.1404,30.6976
77.1518,30.6905
77.1502,30.6846
77.1539,30.6769
77.1552,30.6681
77.1526,30.6588
77.1527,30.6542
77.1562,30.6479
77.1604,30.6424
77.1624,30.6387
77.1599,30.6315
77.1586,30.6138
77.1585,30.6075
77.1586,30.6031
77.1575,30.5996
77.1541,30.5963
77.1469,30.5890
77.1398,30.5832
77.1327,30.5785
77.1259,30.5737
77.1238,30.5727
77.1206,30.5712
77.1151,30.5698
77.1129,30.5682
77.1115,30.5673
77.1137,30.5624
77.1165,30.5574
77.1223,30.5482
77.1376,30.5386
77.1455,30.5378
77.1520,30.5369
77.1695,30.5329
77.1746,30.5305
77.1853,30.5259
77.1959,30.5118
77.1997,30.5066
77.1996,30.4991
77.2003,30.4891
77.1990,30.4845
77.2026,30.4803
77.2119,30.4819
77.2189,30.4860
77.2268,30.4886
77.2419,30.4854
77.2518,30.4844
77.2566,30.4814
77.2608,30.4761
77.2619,30.4710
77.2636,30.4667
77.2746,30.4640
77.2824,30.4619
77.2937,30.4591
77.3007,30.4566
77.3168,30.4576
77.3224,30.4621
77.3263,30.4632
77.3394,30.4636
77.3697,30.4458
77.3762,30.4463
77.3804,30.4461
77.3819,30.4393
77.3968,30.4305
77.4076,30.4279
77.4262,30.4411
77.4457,30.4657
77.4505,30.4652
77.4563,30.4582
77.4568,30.4516
77.4543,30.4461
77.4533,30.4404
77.4397,30.4244
77.4257,30.4200
77.4209,30.4168
77.4159,30.4128
77.4164,30.4084
77.4304,30.4075
77.4430,30.4046
77.4531,30.4048
77.4610,30.4054
77.4680,30.4118
77.4775,30.4133
77.4868,30.4126
77.4913,30.4173
77.4912,30.4250
77.4929,30.4330
77.5012,30.4437
77.5053,30.4484
77.5098,30.4488
77.5144,30.4394
77.5180,30.4309
77.5258,30.4171
77.5429,30.3972
77.5579,30.3904
77.5653,30.3849
77.5749,30.3845
77.5844,30.3814
77.5901,30.3773
77.5920,30.3709
77.5699,30.3371
77.5750,30.3261
77.5739,30.3189
77.5704,30.3112
77.5558,30.3026
77.5404,30.2910
77.5322,30.2869
77.5268,30.2823
77.5225,30.2662
77.5198,30.2601
77.5055,30.2422
77.4960,30.2336
77.4937,30.2275
77.4885,30.2187
77.4839,30.2101
77.4800,30.2022
77.4768,30.1950
77.4733,30.1886
77.4602,30.1838
77.4560,30.1810
77.4468,30.1686
77.4403,30.1692
77.4306,30.1664
77.4153,30.1567
77.4114,30.1497
77.4108,30.1459
77.4178,30.1412
77.4126,30.1277
77.4087,30.1232
77.4033,30.1211
77.3980,30.1187
77.4006,30.1133
77.4060,30.1113
77.4101,30.1111
77.4142,30.1111
77.4144,30.1071
77.4086,30.1026
77.3967,30.0958
77.3925,30.0944
77.3803,30.0930
77.3685,30.0916
77.3248,30.0618
77.3129,30.0605
77.3029,30.0606
77.2976,30.0603
77.2918,30.0585
77.2861,30.0575
77.2804,30.0525
77.2763,30.0505
77.2704,30.0483
77.2699,30.0442
77.2718,30.0399
77.2697,30.0275
77.2676,30.0221
77.2654,30.0180
77.2643,30.0131
77.2619,30.0073
77.2615,30.0056
77.2632,30.0021
77.2551,29.9960
77.2548,29.9932
77.2331,29.9736
77.2319,29.9663
77.2296,29.9619
77.2249,29.9586
77.2237,29.9548
77.2111,29.9407
77.2026,29.9311
77.1956,29.9273
77.1891,29.9220
77.1869,29.9175
77.1859,29.9131
77.1802,29.9062
77.1849,29.8949
77.1850,29.8903
77.1823,29.8816
77.1825,29.8733
77.1801,29.8691
77.1781,29.8622
77.1676,29.8464
77.1670,29.8437
77.1690,29.8296
77.1653,29.8245
77.1556,29.8168
77.1540,29.8138
77.1521,29.8077
77.1540,29.7977
77.1524,29.7933
77.1422,29.7876
77.1374,29.7822
77.1320,29.7790
77.1183,29.7756
77.1170,29.7709
77.1189,29.7642
77.1179,29.7604
77.1142,29.7543
77.1130,29.7486
77.1152,29.7450
77.1226,29.7428
77.1226,29.7360
77.1402,29.7173
77.1433,29.7060
77.1426,29.7016
77.1399,29.7002
77.1322,29.6995
77.1211,29.6916
77.1192,29.6858
77.1200,29.6803
77.1313,29.6630
77.1294,29.6586
77.1097,29.6472
77.1011,29.6331
77.1016,29.6249
77.1005,29.6223
77.0945,29.6178
77.0939,29.6130
77.0922,29.6087
77.0856,29.6008
77.0868,29.5965
77.0899,29.5904
77.1020,29.5770
77.1068,29.5664
77.1097,29.5530
77.1044,29.5489
77.0953,29.5477
77.0894,29.5447
77.0862,29.5395
77.0865,29.5283
77.0976,29.5120
77.1145,29.5032
77.1233,29.4861
77.1204,29.4801
77.1154,29.4754
77.1140,29.4703
77.1178,29.4565
77.1241,29.4529
77.1320,29.4505
77.1377,29.4466
77.1394,29.4421
77.1385,29.4369
77.1249,29.4222
77.1259,29.4106
77.1291,29.4025
77.1401,29.3947
77.1460,29.3925
77.1468,29.3898
77.1386,29.3839
77.1310,29.3807
77.1205,29.3788
77.1169,29.3767
77.1167,29.3726
77.1188,29.3620
77.1519,29.3393
77.1510,29.3255
77.1536,29.3223
77.1542,29.3169
77.1444,29.2962
77.1376,29.2875
77.1425,29.2516
77.1440,29.2433
77.1428,29.2378
77.1272,29.2281
77.1252,29.2249
77.1277,29.2184
77.1326,29.2131
77.1362,29.2075
77.1381,29.2011
77.1400,29.1821
77.1324,29.1718
77.1273,29.1629
77.1266,29.1540
77.1362,29.1278
77.1220,29.1058
77.1244,29.1015
77.1318,29.0946
77.1416,29.0868
77.1493,29.0832
77.1572,29.0775
77.1623,29.0654
77.1616,29.0524
77.1626,29.0486
77.1765,29.0365
77.1916,29.0213
77.2038,29.0167
77.2111,29.0114
77.2140,29.0067
77.2142,29.0060
77.2079,28.9911
77.2038,28.9823
77.1910,28.9617
77.1901,28.9557
77.2044,28.9400
77.2054,28.9365
77.2215,28.9081
77.2212,28.9041
77.2169,28.9003
77.2053,28.8946
77.1991,28.8927
77.1818,28.8898
77.1780,28.8856
77.1783,28.8800
77.1832,28.8718
